sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN689760_c0_g1,AZ1,AZ2,-2.6008214991062,6.79757680931552,0.000219366811825312,0.0198606117675246
TRINITY_DN695135_c1_g2,AZ1,AZ2,-2.70337448985644,5.16943202329864,0.000220522520501327,0.0198628592312067
TRINITY_DN694658_c2_g1,AZ1,AZ2,-2.88099439719167,3.84810874878824,0.000243874930267459,0.0218541799756003
TRINITY_DN688649_c6_g1,AZ1,AZ2,-2.81344056876539,4.42007688052865,0.00025076991400829,0.0223579836022417
TRINITY_DN699664_c1_g3,AZ1,AZ2,-2.57273043786371,6.95577250901603,0.000252230992705313,0.0223746725044248
TRINITY_DN699023_c10_g3,AZ1,AZ2,-2.78271670278228,4.51590825409395,0.000257284575587379,0.0227082727920439
TRINITY_DN696854_c0_g1,AZ1,AZ2,-2.80456940461198,4.41248155557255,0.00026231914493743,0.0230368673084051
TRINITY_DN695669_c2_g2,AZ1,AZ2,-2.57826416418032,6.25011276264682,0.00027272750136616,0.0237460555778194
TRINITY_DN696229_c1_g5,AZ1,AZ2,-2.69587393333351,4.89058390953399,0.000274401202305525,0.0237460555778194
TRINITY_DN695933_c2_g1,AZ1,AZ2,-2.6069622357854,5.88381474495371,0.000274450539871176,0.0237460555778194
TRINITY_DN693107_c0_g1,AZ1,AZ2,-2.85430868542249,3.82538804149268,0.00027847862785107,0.0239764638214519
TRINITY_DN693225_c1_g1,AZ1,AZ2,-2.65198200484301,5.16059360012991,0.000279912788803757,0.0239823815734107
TRINITY_DN675531_c0_g1,AZ1,AZ2,-2.63304121880549,5.30784745070655,0.000283281517073325,0.0241531872129897
TRINITY_DN695469_c1_g1,AZ1,AZ2,-2.51893874911222,8.42846366258084,0.00028723783474226,0.0241985859669529
TRINITY_DN691600_c1_g1,AZ1,AZ2,-2.5330578689024,7.52036918377419,0.000287349457850226,0.0241985859669529
TRINITY_DN696499_c1_g1,AZ1,AZ2,-2.90323150209625,3.65448991068261,0.000287947191248757,0.0241985859669529
TRINITY_DN696245_c4_g1,AZ1,AZ2,-2.80121600126,4.27615929473483,0.000295671205573479,0.0247293764509171
TRINITY_DN692701_c17_g1,AZ1,AZ2,-2.73237649013359,4.53029997427754,0.000313143217325606,0.0260665756829713
TRINITY_DN695957_c1_g2,AZ1,AZ2,-2.51168046675119,7.32895161107423,0.000322524704433106,0.0267208674936937
TRINITY_DN700011_c2_g2,AZ1,AZ2,-2.79409719991929,4.19842428757457,0.000332994320078573,0.0274587429007515
TRINITY_DN700550_c0_g1,AZ1,AZ2,-2.87257644749669,3.62846583909873,0.000334811846211145,0.0274796040507129
TRINITY_DN697208_c0_g3,AZ1,AZ2,-2.56034040505762,5.76019693300421,0.000359067868596985,0.0293173311237258
TRINITY_DN696298_c2_g1,AZ1,AZ2,-2.7614500983382,4.24227657709363,0.000360541079635889,0.0293173311237258
