sampleA,sampleB,logFC,logCPM,PValue,FDR
TRINITY_DN682181_c0_g1_i5,AZ1,AZ3,-3.42554898771051,3.56572184693318,2.90464564641377e-05,0.00407784289600539
TRINITY_DN698323_c1_g4_i4,AZ1,AZ3,-3.28577655119529,4.29608925643531,2.94738186780085e-05,0.00411583064762636
TRINITY_DN699805_c0_g1_i6,AZ1,AZ3,-3.21474449186783,4.43332321615075,3.14105719444421e-05,0.00436307801723513
TRINITY_DN616655_c0_g1_i1,AZ1,AZ3,-3.20432801905144,4.48530574056713,3.22890065915401e-05,0.00446149100025107
TRINITY_DN686629_c12_g1_i1,AZ1,AZ3,-3.04580406775113,5.48757246281994,3.25757179111663e-05,0.00447754095456465
TRINITY_DN690771_c13_g2_i1,AZ1,AZ3,-3.15193847774825,4.6605993013455,3.3317241099829e-05,0.00455561213850943
TRINITY_DN697208_c1_g1_i5,AZ1,AZ3,-3.13155994491009,4.5898292675037,3.67166251609891e-05,0.00496410110147756
TRINITY_DN695181_c11_g2_i2,AZ1,AZ3,-3.38812223823189,3.53187661208379,3.68719656720422e-05,0.00496410110147756
TRINITY_DN687692_c4_g1_i1,AZ1,AZ3,-3.38812223823189,3.53187661208379,3.68719656720422e-05,0.00496410110147756
TRINITY_DN695705_c6_g1_i3,AZ1,AZ3,-3.36137873815429,3.74604625848878,3.74432160082163e-05,0.00501528954012093
TRINITY_DN687483_c15_g2_i4,AZ1,AZ3,-3.17013544258042,4.26213822111773,3.77033123039274e-05,0.00502449267977161
TRINITY_DN666707_c0_g1_i1,AZ1,AZ3,-3.11283537747331,4.57305966813831,3.98031310123212e-05,0.00527753332558822
TRINITY_DN692765_c8_g2_i1,AZ1,AZ3,-3.07493142974349,4.73858036624226,4.00898596022713e-05,0.00528883961878607
TRINITY_DN694836_c7_g1_i2,AZ1,AZ3,-2.96526895085973,6.02909333029325,4.12593572068532e-05,0.00541590952375759
TRINITY_DN687619_c20_g2_i1,AZ1,AZ3,-3.33529027655278,3.82850193332464,4.14817841417687e-05,0.00541801631380027
TRINITY_DN696288_c3_g3_i7,AZ1,AZ3,-3.10701868606482,4.62033379288482,4.20486559020894e-05,0.00546486813563145
TRINITY_DN643309_c0_g1_i2,AZ1,AZ3,-3.15570476233337,4.50045811993904,4.25760454573165e-05,0.00550615232212281
TRINITY_DN684537_c10_g4_i4,AZ1,AZ3,-3.21730288152228,4.16047012347715,4.30365408040605e-05,0.00553842306729902
TRINITY_DN684491_c15_g2_i4,AZ1,AZ3,-2.91831529264888,6.70419710479981,4.39402679491304e-05,0.00561254080271368
